segment_column,segment_value,n,do_nothing,recoverytwin,max_probability,oracle,rt_incremental,regret,recovery_rate_rt,intervention_rate_rt
failure_reason,customer_abandoned,2143,311383.47,805899.3140728173,858614.3999999999,1528931.5899999999,494515.84407281736,0.4729003446957248,0.2902473168455436,0.9337377508166123
failure_reason,network_timeout,839,291892.94999999995,618869.5231135188,611225.0800000001,990484.0,326976.5731135189,0.37518473482305736,0.5351609058402861,0.933253873659118
failure_reason,bank_unavailable,677,184233.26,398469.5569071191,513298.28,802712.0700000001,214236.2969071191,0.5035959071761322,0.5036927621861153,0.9379615952732644
failure_reason,account_frozen,351,28172.61,80589.83042834754,79101.34,199633.49,52417.220428347544,0.5963110677053858,0.21367521367521367,0.8689458689458689
failure_reason,fraud_suspected,487,71961.17,148703.22998811718,176978.46,371793.42,76742.05998811718,0.6000380265252753,0.26283367556468173,0.9137577002053389
failure_reason,expired_card,694,172367.35,326302.78697007353,369273.04,591011.5,153935.43697007353,0.44789096833128705,0.4034582132564842,0.909221902017291
failure_reason,limit_exceeded,539,45226.259999999995,153950.68898723304,129450.06,282379.97,108724.42898723304,0.45481016593622753,0.2189239332096475,0.9406307977736549
failure_reason,insufficient_funds,1008,184219.41999999998,308989.616798723,370390.24,789371.51,124770.19679872302,0.6085624919517009,0.29563492063492064,0.933531746031746
failure_reason,technical_decline,1266,444475.48,795718.9904517358,862886.61,1370065.06,351243.5104517358,0.4192107997763728,0.5078988941548184,0.9407582938388626
failure_reason,incorrect_pin,422,88993.69,185107.4344277167,252881.81,393528.37,96113.74442771671,0.5296211187322614,0.41706161137440756,0.9360189573459715
amount_bucket,high,1157,567664.3,1194771.8295858086,1265345.23,2220936.21,627107.5295858085,0.4620413570609448,0.34917891097666376,0.9256698357821953
amount_bucket,low,3370,149586.86,307277.3998737512,344974.97,573219.97,157690.53987375123,0.46394505433271765,0.37833827893175076,0.9249258160237389
amount_bucket,medium,3500,613092.0900000001,1289654.050415968,1410783.25,2357497.56,676561.960415968,0.4529563583446644,0.37742857142857145,0.934
amount_bucket,very_high,399,492582.41000000003,1030897.6922698743,1202995.87,2168257.24,538315.2822698742,0.5245500979995003,0.3258145363408521,0.9448621553884712
